                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.435,                 3.6895,                   3.69,                0.28307,                0.30408,                0.24379,                0.08322,                    nan,                    nan,                    nan,              0.0033257,              0.0033257,              0.0033257
                      2,                 2.0484,                 2.1551,                 2.1248,                0.28836,                0.41497,                 0.2998,                0.14098,                    nan,                    nan,                    nan,              0.0066261,              0.0066261,              0.0066261
                      3,                 1.7333,                 1.7911,                 1.7701,                0.32096,                0.38568,                0.31255,                0.16769,                    nan,                    nan,                    nan,              0.0098935,              0.0098935,              0.0098935
                      4,                  1.576,                 1.5736,                 1.6171,                0.49107,                0.54894,                0.49063,                0.31571,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4515,                 1.4242,                 1.5151,                0.60128,                0.60319,                0.64614,                0.45342,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3674,                 1.3276,                 1.4577,                0.74405,                0.70427,                0.78795,                0.52697,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      7,                 1.3266,                 1.2743,                 1.4233,                0.59977,                0.47593,                0.51059,                0.34207,                    nan,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2905,                  1.226,                  1.398,                0.72583,                0.64419,                0.72219,                0.50472,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      9,                 1.2532,                 1.1791,                 1.3756,                0.79219,                  0.682,                0.78159,                0.55506,                    nan,                    nan,                    nan,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2399,                 1.1606,                 1.3581,                0.66788,                0.76883,                0.77372,                0.53383,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     11,                 1.2198,                 1.1295,                 1.3466,                0.61716,                0.69256,                0.70902,                0.48926,                    nan,                    nan,                    nan,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.2012,                 1.1045,                 1.3337,                0.72776,                0.67492,                0.77416,                0.55217,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     13,                 1.1889,                 1.0862,                 1.3237,                0.67612,                0.70743,                0.78934,                0.55587,                    nan,                    nan,                    nan,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.1759,                  1.062,                 1.3146,                0.68986,                0.73397,                0.76526,                0.54836,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     15,                 1.1605,                 1.0517,                 1.3028,                0.75155,                0.71436,                 0.8447,                0.62801,                    nan,                    nan,                    nan,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.1452,                 1.0266,                 1.2936,                0.70588,                0.75249,                0.80902,                0.58896,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
